date,ticker,close_usd
2026-08-13,CORZ,19.78
2026-08-13,HIVE,2.58
2026-08-13,WULF,16.31
2026-08-13,CIFR,16.62
2026-08-13,HUT,82.95
2026-08-13,CANG,2.26
2026-08-13,ABTC,7.32
2026-08-13,CAN,0.21
2026-08-14,MARA,9.20
2026-08-14,CLSK,12.09
2026-08-14,RIOT,19.01
2026-08-14,IREN,44.06
2026-08-14,BTDR,9.13
2026-08-14,CORZ,20.18
2026-08-14,HIVE,2.69
2026-08-14,WULF,17.38
2026-08-14,CIFR,17.85
2026-08-14,HUT,85.44
2026-08-14,CANG,2.05
2026-08-14,ABTC,7.26
2026-08-14,CAN,0.23
2026-08-17,MARA,9.2
2026-08-17,CLSK,12.09
2026-08-17,RIOT,19.015
2026-08-17,IREN,44.06
2026-08-17,BTDR,9.13
2026-08-17,CORZ,20.18
2026-08-17,HIVE,2.69
2026-08-17,WULF,17.38
2026-08-17,CIFR,17.855
2026-08-17,HUT,85.44
2026-08-17,CANG,2.05
2026-08-17,ABTC,7.26
2026-08-17,CAN,0.23
2026-08-18,MARA,9.715
2026-08-18,CLSK,12.4
2026-08-18,RIOT,20.04
2026-08-18,IREN,44.9
2026-08-18,BTDR,9.39
2026-08-18,CORZ,20.13
2026-08-18,HIVE,3.07
2026-08-18,WULF,17.6
2026-08-18,CIFR,18.5
2026-08-18,HUT,88.04
2026-08-18,CANG,1.79
2026-08-18,ABTC,7.12
2026-08-18,CAN,0.228
2026-08-19,MARA,8.96
2026-08-19,CLSK,11.73
2026-08-19,RIOT,18.91
2026-08-19,IREN,42.0
2026-08-19,BTDR,9.0
2026-08-19,CORZ,18.85
2026-08-19,HIVE,2.78
2026-08-19,WULF,15.62
2026-08-19,CIFR,16.095
2026-08-19,HUT,80.79
2026-08-19,CANG,1.63
2026-08-19,ABTC,6.94
2026-08-19,CAN,0.218
2026-08-20,MARA,9.65
2026-08-20,CLSK,11.67
2026-08-20,RIOT,19.38
2026-08-20,IREN,42.84
2026-08-20,BTDR,9.63
2026-08-20,CORZ,18.72
2026-08-20,HIVE,2.82
2026-08-20,WULF,15.5
2026-08-20,CIFR,15.89
2026-08-20,HUT,82.08
2026-08-20,CANG,1.68
2026-08-20,ABTC,7.9
2026-08-20,CAN,0.24
2026-08-21,MARA,11.15
2026-08-21,CLSK,12.6
2026-08-21,RIOT,20.98
2026-08-21,IREN,42.6
2026-08-21,BTDR,10.43
2026-08-21,CORZ,18.39
2026-08-21,HIVE,3.13
2026-08-21,WULF,16.45
2026-08-21,CIFR,17.21
2026-08-21,HUT,88.65
2026-08-21,CANG,1.62
2026-08-21,ABTC,8.47
2026-08-21,CAN,0.2789
2026-08-22,MARA,11.26
2026-08-22,CLSK,11.98
2026-08-22,RIOT,19.83
2026-08-22,IREN,41.88
2026-08-22,BTDR,11.37
2026-08-22,CORZ,17.81
2026-08-22,HIVE,3.03
2026-08-22,WULF,15.64
2026-08-22,CIFR,15.765
2026-08-22,HUT,80.86
2026-08-22,CANG,2.14
2026-08-22,ABTC,7.93
2026-08-22,CAN,0.355
